obs_id,month,year,district,IRN,leaid,county,purpose,for,against,mills_pct,years,amount,new,type
2807,2,2009,Conneaut Area City School District,43497,#REF!,ASHTABULA,to provide for the emergency requirements of the school district,1616,1691,8.46,5,,additional,levy
2808,2,2009,Brown Local School District,43513,3904349,CARROLL,to avoid an operating deficit,420,460,4.5,10,,renewal,levy
2809,2,2009,Williamsburg Local School District,43612,3904349,CLERMONT,to avoid an operating deficit,442,501,6.4,5,,renewal,levy
2810,2,2009,Beaver Local School District,43638,3904349,COLUMBIANA,to provide for the emergency requirements of the school district,1001,669,5.3,5,,renewal,levy
2811,2,2009,Olmsted Falls City School District,43661,3904365,CUYAHOGA,for current expenses,1795,3145,9.9,100,,additional,levy
2812,2,2009,Newbury Local School District,43679,3904365,GE8A,to provide for the emergency requirements of the school district,994,850,6.72,10,,additional,levy
2813,2,2009,Mt. Healthy City School District,43695,3904365,HAMILTON,for current operating expenses,467,1314,7.95,100,,additional,levy
2814,2,2009,St. Bernard-Elmwood City School District,43836,3904365,HAMILTON,to provide for the emergency requirements of the school district,401,270,7.71,10,,renewal,levy
2815,2,2009,Wellington Exempted Village School District,43869,3904365,LORAIN,to acquire construct enlarge re11ate & finance general permanent improvements,1002,1727,0.5,100,,additional,levy
2816,2,2009,Field Local School District,43885,3904365,PORTAGE,for current operating expenses,1206,1544,7.3,5,,replacement,levy
2817,2,2009,Bellevue City School District,43968,3904365,SANDUSKY,to provide for the emergency requirements of the school district,881,1569,3.75,10,,additional,levy
2818,2,2009,Jackson Local School District,43984,3904365,STARK,to provide for the emergency requirements of the school district,4954,4653,4.9,5,,additional,levy
2819,2,2009,Lake Local School District,44040,3904365,STARK,to acquire construct enlarge re11ate & finance general permanent improvements,1621,3795,0.5,100,,additional,levy
2820,2,2009,Minerva Local School District,44099,3904365,STARK,to provide for the emergency requirements of the school district,517,1777,5.6,5,,additional,levy
2821,2,2009,Northwest Local School District,44180,3904368,STARK,to provide for the emergency requirements of the school district,2137,2527,12.8,10,,additional,levy
2822,2,2009,Lakeview Local School District,44206,3904368,TRUMBULL,to provide for the emergency requirements of the school district,1669,953,3.15,5,,renewal,levy
2823,2,2009,Wayne Local School District,44222,3904368,WARREN,,1378,992, Fix,,,renewal,levy
2824,5,2009,Allen East Local School District,44255,3904368,ALLEN,to re11ate remodel & improve sites & facilities & purchase equipment & school buses for school purposes,284,199,2.75,5,,renewal,levy
2825,5,2009,Bath Local School District,#N/A,#N/A,ALLEN,to provide for the emergency requirements of the school district,1115,584,12.1,5,,renewal,levy
2826,5,2009,Bluffton Exempted School District,#N/A,#N/A,ALLEN,to avoid an operating deficit,845,351,3.44,5,,renewal,levy
2827,5,2009,Delphos City School District,#N/A,#N/A,ALLEN,to improve construct reconstruct re11ate & remodel buildings & facilities; acquire furnishings & equipment & improve sites for school purposes,484,197,2.25,5,,renewal,levy
2828,5,2009,Delphos City School District,45534,3904553,ALLEN,for current expenses,482,196,5.5,5,,renewal,levy
2829,5,2009,Perry Local School District,44438,3904368,ALLEN,to avoid an operating deficit,207,71,4.49,5,,renewal,levy
2830,5,2009,Ashtabula County Joint Vocational School District,44438,3904368,ASHTABULA,for general permanent improvements,4276,4469,1,100,,additional,levy
2831,5,2009,Geneva Area City School District,44495,3904368,ASHTABULA,for general permanent improvements,897,604,0.85,5,,renewal,levy
2832,5,2009,Jefferson Area Local School District,44560,3904368,ASHTABULA,for current operating expenses,706,629,5,5,,renewal,levy
2833,5,2009,St. 3ys City School District,44586,3901572,8LAIZE,to provide for the emergency requirements of the school district,981,795,7.9,5,,renewal,levy
2834,5,2009,Shadyside Local School District,44636,3901572,BELMONT,to provide for the emergency requirements of the school district,399,404,5.4,3,,renewal,levy
2835,5,2009,Brown Local School District,44677,3901572,CARROLL,to avoid an operating deficit,708,492,4.5,10,,renewal,levy
2836,5,2009,Graham Local School District,44701,3901572,CHAMPAIGN,for permanent improvement of property & to acquire transportation equipment,795,553,1.5,5,,renewal,levy
2837,5,2009,Bethel-Tate Local School District,47381,3904351,CLERMONT,to provide for the emergency requirements of the school district,919,1516,5.9,5,,additional,levy
2838,5,2009,West Clermont Local School District,44842,3901572,CLERMONT,to provide for the necessary requirements of the school district,9160,2759,6.91,100,,substitute,levy
2839,5,2009,Williamsburg Local School District,44891,3901572,CLERMONT,to avoid an operating deficit,909,797,6.4,5,,renewal,levy
2840,5,2009,Leetonia Exempted Village School District,44990,3901572,COLUMBIANA,to avoid an operating deficit,610,702,8.8,5,,additional,levy
2841,5,2009,Wynford Local School District,45047,3904504,CRAWFORD,to avoid an operating deficit,887,285,2.79,3,,renewal,levy
2842,5,2009,Wynford Local School District,45104,3904504,CRAWFORD,for current operating expenses,899,277,6.9,3,,renewal,levy
2843,5,2009,Bedford City School District,45146,3904504,CUYAHOGA,for current expenses,3144,2747,4.9,100,,additional,levy
2844,5,2009,Brooklyn City School District,45187,3904504,CUYAHOGA,to avoid an operating deficit,1709,1215,5.7,5,,renewal,levy
2845,5,2009,North Royalton City School District,46714,3904414,CUYAHOGA,to provide for the emergency requirements of the school district,6171,5721,6.2,10,,additional,levy
2846,5,2009,Parma City School District,45310,3904504,CUYAHOGA,for current expenses,9023,16507,5.5,100,,additional,levy
2847,5,2009,Warrensville Heights City School District,45344,3904504,CUYAHOGA,to provide for the emergency requirements of the school district,1321,781,5.1,5,,renewal,levy
2848,5,2009,Greenville City School District,45526,3904504,DARKE,to provide for the emergency requirements of the school district,2443,2200,3.9,3,,additional,levy
2849,5,2009,Ayersville Local School District,45609,3904436,DEFIANCE,for general permanent improvements,344,380,2,5,,renewal,levy
2850,5,2009,Delaware City School District,45609,3904436,DELAWARE,for permanent improvements,2874,1244,3,5,,renewal,levy
2851,5,2009,Berlin-Milan Local School District,45633,3904436,ERIE,to provide for the emergency requirements of the school district,1302,724,3.5,10,,renewal,levy
2852,5,2009,Margaretta Local School District,45757,3904436,ERIE,to provide for the emergency requirements of the school district,664,1110,7.85,5,,additional,levy
2853,5,2009,Vermilion Local School District,45765,3904436,ERIE,to provide for the emergency requirements of the school district,730,1427,5.3,2,,additional,levy
2854,5,2009,Canal Winchester Local School District,45864,3904436,FRANKLIN,to provide for the emergency requirements of the school district,2442,2219,14.82,2,,additional,levy
2855,5,2009,Groveport Madison Local School District,45872,3904436,FRANKLIN,,2203,1963,9.36,3,,renewal & increase,levy
2856,5,2009,Reynoldsburg City School District,45872,3904436,FRANKLIN,for current operating expenses,4189,4684,15.6,100,,additional,levy
2857,5,2009,South-Western City School District,45955,3904436,FRANKLIN,for current operating expenses,10642,13284,8.3,4,,additional,levy
2858,5,2009,Westerville City School District,46425,3904414,FRANKLIN,for permanent improvements,7382,3877,2.7,100,,renewal,levy
2859,5,2009,Worthington City School District,46524,3904414,FRANKLIN,for current operating expenses,3681,5378,7.4,100,,additional,levy
2860,5,2009,Archbold Area School District,46524,3904414,FULTON,for current expenses of the Archbold Community Library,345,111,0.4,5,,renewal,levy
2861,5,2009,Wauseon Village Exempted School District,46557,3904414,FULTON,for general permanent improvements,455,222,1,100,,renewal,levy
2862,5,2009,Sugarcreek Local School District,46680,3904414,GREENE,for current operating expenses,3106,1234,9,100,,renewal,levy
2863,5,2009,Xenia City Community School District,46706,3904414,GREENE,for permanent improvements,3032,4171,0.5,100,,additional,levy
2864,5,2009,Forest Hills Local School District,46714,3904414,HAMILTON,for current operating expenses,5563,6862,6.9,100,,additional,levy
2865,5,2009,Sycamore Community City School District,46714,3904414,HAMILTON,current operating expenses,4617,1649,5.5,100,,renewal,levy
2866,5,2009,Winton Woods City School District,46920,3904414,HAMILTON,for current operating expenses,1907,2335,7.95,100,,additional,levy
2867,5,2009,Arcadia Local School District,47050,3904414,HANCOCK,to avoid an operating deficit,367,260,4.2,3,,renewal,levy
2868,5,2009,Liberty-Benton Local School District,47092,3904414,HANCOCK,to provide for the emergency requirements of the school district,1299,544,4.4,10,,renewal,levy
2869,5,2009,Liberty-Benton Local School District,47225,3904722,HANCOCK,to provide for the emergency requirements of the school district,961,861,4.6,10,,additional,levy
2870,5,2009,Van Buren Local School District,47241,3904351,HANCOCK,for current operating expenses & to acquire construct enlarge re11ate & finance permanent improvements,648,372,6,5,,renewal,levy
2871,5,2009,Vanlue Local School District,47340,3904351,HANCOCK,to provide for the emergency requirements of the school district,196,165,10.6,10,,renewal,levy
2872,5,2009,Holgate Local School District,47415,3904351,HENRY,to construct acquire re11ate remodel or equip school facilities or sites,165,102,2,5,,renewal,levy
2873,5,2009,East Holmes Local School District,47415,3904351,HOLMES,to provide for the emergency requirements of the school district,412,78,1.49,10,,renewal,levy
2874,5,2009,Mount Vernon City School District,47464,3904743,KNOX,to provide for the emergency requirements of the school district,1751,1124,2.11,5,,renewal,levy
2875,5,2009,Kirtland Local School District,47506,3904743,LAKE,to provide of the emergency requirements of the school district,600,331,4.06,5,,renewal,levy
2876,5,2009,Riverside Local School District,47597,3904743,LAKE,to provide for the necessary requirements of the school district,2197,1152,3.84,5,,substitute,levy
2877,5,2009,Willoughby-Eastlake City School District,47621,3904743,LAKE,to provide for the emergency requirements of the school district. If not approved any remaining tax  on any of the above 2 existing levies will not be collected after tax year 2008.,3144,1479,3.81,10,,(renewal)|of 2 existing levies,levy
2878,5,2009,Johnstown-Monroe Local School District,47688,3904743,LICKING,to provide for the emergency requirements of the school district,2047,1309,9.6,5,,additional,levy
2879,5,2009,Newark City School District,47688,3904743,LICKING,to provide for the emergency requirements of the school district,5205,4937,7.5,5,,additional,levy
2880,5,2009,Northridge Local School District,47803,3904743,LICKING,to provide for the emergency requirements of the school district,1512,1492,9.9,5,,additional,levy
2881,5,2009,Southwest Licking Local School District,48116,3904743,LICKING,for general permanent improvements,2163,2016,2.8,100,,replacement,levy
2882,5,2009,Sheffield-Sheffield Lake City School District,48116,3904743,LORAIN,to provide for the emergency requirements of the school district,1022,462,5.48,5,,renewal,levy
2883,5,2009,Sheffield-Sheffield Lake City School District,48173,3904743,LORAIN,to provide for the emergency requirements of the school district,1038,453,6.66,5,,renewal,levy
2884,5,2009,Maumee City School District,48348,3904743,LUCAS,for current operating expenses,1990,1529,3.9,100,,additional,levy
2885,5,2009,Springfield Local School District,48348,3904743,LUCAS,to acquire construct enlarge re11ate & finance general ongoing permanent improvements,1250,950,1.35,5,,renewal,levy
